Plate with hole, uniaxial tension
2 1125 1 1
1 0 0 0.707106769 0.707106769
2 0 0 5.000000000 5.000000000
3 1 1 -5.000000000 5.000000000
4 0 0 -0.707106769 0.707106769
5 0 0 1.000000000 0.000000000
6 0 0 0.707106769 -0.707106769
7 0 0 5.000000000 -5.000000000
8 1 1 -5.000000000 -5.000000000
9 0 0 -0.707106769 -0.707106769
10 0 0 0.777817488 0.777817488
11 0 0 0.853698134 0.853698134
12 0 0 0.935126722 0.935126722
13 0 0 1.022508980 1.022508980
14 0 0 1.116280200 1.116280200
15 0 0 1.216907380 1.216907380
16 0 0 1.324891810 1.324891810
17 0 0 1.440771580 1.440771580
18 0 0 1.565123800 1.565123800
19 0 0 1.698567990 1.698567990
20 0 0 1.841768860 1.841768860
21 0 0 1.995439770 1.995439770
22 0 0 2.160346270 2.160346270
23 0 0 2.337309840 2.337309840
24 0 0 2.527211900 2.527211900
25 0 0 2.730998750 2.730998750
26 0 0 2.949685340 2.949685340
27 0 0 3.184360980 3.184360980
28 0 0 3.436194900 3.436194900
29 0 0 3.706441640 3.706441640
30 0 0 3.996447090 3.996447090
31 0 0 4.307656290 4.307656290
32 0 0 4.641619210 4.641619210
33 0 0 4.090909000 5.000000000
34 0 0 3.181818250 5.000000000
35 0 0 2.272727250 5.000000000
36 0 0 1.363636370 5.000000000
37 0 0 0.454545468 5.000000000
38 0 0 -0.454545468 5.000000000
39 0 0 -1.363636370 5.000000000
40 0 0 -2.272727250 5.000000000
41 0 0 -3.181818250 5.000000000
42 0 0 -4.090909000 5.000000000
43 0 0 -4.641619210 4.641619210
44 0 0 -4.307656290 4.307656290
45 0 0 -3.996447090 3.996447090
46 0 0 -3.706441640 3.706441640
47 0 0 -3.436194900 3.436194900
48 0 0 -3.184360980 3.184360980
49 0 0 -2.949685340 2.949685340
50 0 0 -2.730998750 2.730998750
51 0 0 -2.527211900 2.527211900
52 0 0 -2.337309840 2.337309840
53 0 0 -2.160346270 2.160346270
54 0 0 -1.995439770 1.995439770
55 0 0 -1.841768860 1.841768860
56 0 0 -1.698567990 1.698567990
57 0 0 -1.565123800 1.565123800
58 0 0 -1.440771580 1.440771580
59 0 0 -1.324891810 1.324891810
60 0 0 -1.216907380 1.216907380
61 0 0 -1.116280200 1.116280200
62 0 0 -1.022508980 1.022508980
63 0 0 -0.935126722 0.935126722
64 0 0 -0.853698134 0.853698134
65 0 0 -0.777817488 0.777817488
66 0 0 -0.599277675 0.800541222
67 0 0 -0.479249001 0.877678990
68 0 0 -0.349464178 0.936949730
69 0 0 -0.212565288 0.977146864
70 0 0 -0.071339183 0.997452140
71 0 0 0.071339183 0.997452140
72 0 0 0.212565288 0.977146864
73 0 0 0.349464178 0.936949730
74 0 0 0.479249001 0.877678990
75 0 0 0.599277675 0.800541222
76 0 0 0.793353319 0.608761430
77 0 0 0.866025388 0.500000000
78 0 0 0.923879504 0.382683426
79 0 0 0.965925813 0.258819044
80 0 0 0.991444886 0.130526185
81 0 0 0.991444886 -0.130526185
82 0 0 0.965925813 -0.258819044
83 0 0 0.923879504 -0.382683426
84 0 0 0.866025388 -0.500000000
85 0 0 0.793353319 -0.608761430
86 0 0 0.777817488 -0.777817488
87 0 0 0.853698134 -0.853698134
88 0 0 0.935126722 -0.935126722
89 0 0 1.022508980 -1.022508980
90 0 0 1.116280200 -1.116280200
91 0 0 1.216907380 -1.216907380
92 0 0 1.324891810 -1.324891810
93 0 0 1.440771580 -1.440771580
94 0 0 1.565123800 -1.565123800
95 0 0 1.698567990 -1.698567990
96 0 0 1.841768860 -1.841768860
97 0 0 1.995439770 -1.995439770
98 0 0 2.160346270 -2.160346270
99 0 0 2.337309840 -2.337309840
100 0 0 2.527211900 -2.527211900
101 0 0 2.730998750 -2.730998750
102 0 0 2.949685340 -2.949685340
103 0 0 3.184360980 -3.184360980
104 0 0 3.436194900 -3.436194900
105 0 0 3.706441640 -3.706441640
106 0 0 3.996447090 -3.996447090
107 0 0 4.307656290 -4.307656290
108 0 0 4.641619210 -4.641619210
109 0 0 5.000000000 -4.166666510
110 0 0 5.000000000 -3.333333250
111 0 0 5.000000000 -2.500000000
112 0 0 5.000000000 -1.666666630
113 0 0 5.000000000 -0.833333313
114 0 0 5.000000000 0.000000000
115 0 0 5.000000000 0.833333313
116 0 0 5.000000000 1.666666630
117 0 0 5.000000000 2.500000000
118 0 0 5.000000000 3.333333250
119 0 0 5.000000000 4.166666510
120 0 0 -4.641619210 -4.641619210
121 0 0 -4.307656290 -4.307656290
122 0 0 -3.996447090 -3.996447090
123 0 0 -3.706441640 -3.706441640
124 0 0 -3.436194900 -3.436194900
125 0 0 -3.184360980 -3.184360980
126 0 0 -2.949685340 -2.949685340
127 0 0 -2.730998750 -2.730998750
128 0 0 -2.527211900 -2.527211900
129 0 0 -2.337309840 -2.337309840
130 0 0 -2.160346270 -2.160346270
131 0 0 -1.995439770 -1.995439770
132 0 0 -1.841768860 -1.841768860
133 0 0 -1.698567990 -1.698567990
134 0 0 -1.565123800 -1.565123800
135 0 0 -1.440771580 -1.440771580
136 0 0 -1.324891810 -1.324891810
137 0 0 -1.216907380 -1.216907380
138 0 0 -1.116280200 -1.116280200
139 0 0 -1.022508980 -1.022508980
140 0 0 -0.935126722 -0.935126722
141 0 0 -0.853698134 -0.853698134
142 0 0 -0.777817488 -0.777817488
143 0 0 -0.800541222 -0.599277675
144 0 0 -0.877678990 -0.479249001
145 0 0 -0.936949730 -0.349464178
146 0 0 -0.977146864 -0.212565288
147 0 0 -0.997452140 -0.071339183
148 0 0 -0.997452140 0.071339183
149 0 0 -0.977146864 0.212565288
150 0 0 -0.936949730 0.349464178
151 0 0 -0.877678990 0.479249001
152 0 0 -0.800541222 0.599277675
153 1 1 -5.000000000 4.090909000
154 1 1 -5.000000000 3.181818250
155 1 1 -5.000000000 2.272727250
156 1 1 -5.000000000 1.363636370
157 1 1 -5.000000000 0.454545468
158 1 1 -5.000000000 -0.454545468
159 1 1 -5.000000000 -1.363636370
160 1 1 -5.000000000 -2.272727250
161 1 1 -5.000000000 -3.181818250
162 1 1 -5.000000000 -4.090909000
163 0 0 -4.090909000 -5.000000000
164 0 0 -3.181818250 -5.000000000
165 0 0 -2.272727250 -5.000000000
166 0 0 -1.363636370 -5.000000000
167 0 0 -0.454545468 -5.000000000
168 0 0 0.454545468 -5.000000000
